Follower	Followee	Weight
8659	3391	1.0
8659	7926	1.0
8659	3665	1.0
8659	8587	1.0
8659	8617	1.0
8659	4867	1.0
8659	4790	1.0
8659	1764	1.0
8659	9450	1.0
8659	1245	1.0
8659	8830	1.0
8659	9823	1.0
8659	7770	1.0
8659	7140	1.0
8659	1297	1.0
8659	2494	1.0
8659	3260	1.0
8659	9125	1.0
8659	3456	1.0
8659	5558	1.0
8659	8583	1.0
8659	4744	1.0
540	1135	1.0
540	6898	1.0
3094	6834	1.0
3094	5611	1.0
475	1579	1.0
10364	9825	1.0
10364	1005	1.0
3907	7237	1.0
7455	3278	1.0
222	9738	1.0
222	10532	1.0
222	311	1.0
222	10396	1.0
2001	6716	1.0
2001	3928	1.0
2114	1591	1.0
2114	703	1.0
3878	1701	1.0
3878	4395	1.0
9538	6769	1.0
5928	8384	1.0
5929	6839	1.0
5929	8635	1.0
4184	6228	1.0
4184	704	1.0
4184	1181	1.0
4184	738	1.0
4184	6360	1.0
5930	5845	1.0
5930	5076	1.0
5930	7066	1.0
5930	6615	1.0
5930	1984	1.0
5930	6964	1.0
5930	6286	1.0
5930	8686	1.0
5930	6112	1.0
2003	1347	1.0
2003	1950	1.0
2004	1564	1.0
2004	4689	1.0
2004	7433	1.0
5932	2907	1.0
7878	10163	1.0
9794	738	1.0
9794	1579	1.0
2005	1695	1.0
7456	6653	1.0
5933	5607	1.0
5933	6831	1.0
5933	7995	1.0
5933	1835	1.0
5933	2008	1.0
5933	3768	1.0
5933	5407	1.0
5933	339	1.0
5933	3883	1.0
2007	1983	1.0
2007	3903	1.0
2007	8573	1.0
10047	10363	1.0
2008	7616	1.0
2008	734	1.0
2008	2677	1.0
2008	6073	1.0
2008	9288	1.0
2008	4533	1.0
2008	2376	1.0
2008	5234	1.0
2008	1839	1.0
2008	643	1.0
9995	1540	1.0
9995	3355	1.0
9995	9647	1.0
9975	9763	1.0
9916	6773	1.0
9916	6839	1.0
9916	2415	1.0
9916	9295	1.0
2009	3364	1.0
2009	4308	1.0
7442	5697	1.0
2010	2196	1.0
2010	5694	1.0
7457	4533	1.0
7457	2337	1.0
10024	4445	1.0
4187	6571	1.0
4188	7654	1.0
4188	4439	1.0
4188	2562	1.0
4189	4825	1.0
4189	5680	1.0
4189	6260	1.0
8662	5916	1.0
10197	1930	1.0
8663	3665	1.0
8663	7746	1.0
3237	4900	1.0
2011	6072	1.0
356	2438	1.0
8215	8811	1.0
8215	7143	1.0
2012	1722	1.0
2390	1750	1.0
2390	4725	1.0
249	243	1.0
249	246	1.0
249	256	1.0
5725	2259	1.0
65	111	1.0
9540	5330	1.0
9540	4086	1.0
9540	944	1.0
4190	2697	1.0
4190	5039	1.0
8665	6775	1.0
251	243	1.0
251	246	1.0
251	256	1.0
9695	1983	1.0
9695	2603	1.0
9695	7323	1.0
9696	4217	1.0
4192	3952	1.0
1436	8790	1.0
1436	7633	1.0
1436	5164	1.0
1436	451	1.0
1436	9382	1.0
1436	5515	1.0
3880	1885	1.0
2013	2321	1.0
5936	6375	1.0
5936	7076	1.0
5936	1017	1.0
2014	7116	1.0
2015	2267	1.0
6587	907	1.0
7461	7237	1.0
5939	4946	1.0
7213	4758	1.0
66	30	1.0
8667	7870	1.0
2016	8515	1.0
2016	6518	1.0
2016	3107	1.0
2016	8402	1.0
8669	804	1.0
8670	2229	1.0
5484	9710	1.0
7462	7912	1.0
7462	10303	1.0
4197	1156	1.0
7463	9328	1.0
10516	8659	1.0
8673	9030	1.0
1598	6314	1.0
1912	9163	1.0
1912	4533	1.0
8674	7093	1.0
507	9650	1.0
507	6333	1.0
507	7066	1.0
507	5727	1.0
507	4533	1.0
5940	5945	1.0
5940	4597	1.0
7466	6503	1.0
9863	4484	1.0
4199	2244	1.0
7467	6146	1.0
9773	8575	1.0
2840	3847	1.0
2840	6371	1.0
2840	7920	1.0
2840	5312	1.0
8675	5845	1.0
2017	5750	1.0
5680	7060	1.0
5680	7354	1.0
5680	6753	1.0
5680	4189	1.0
5680	5591	1.0
5680	1247	1.0
4200	1352	1.0
4201	8001	1.0
4201	7619	1.0
4201	3848	1.0
4201	2671	1.0
4201	2543	1.0
4201	8916	1.0
4201	6615	1.0
4201	1702	1.0
4201	2785	1.0
4201	1546	1.0
4201	5566	1.0
4201	9389	1.0
4201	4984	1.0
4201	4082	1.0
4201	4539	1.0
4201	1903	1.0
4201	1002	1.0
4201	5205	1.0
7469	9435	1.0
5943	2677	1.0
5943	2880	1.0
5943	1840	1.0
5943	9165	1.0
363	10211	1.0
7470	7141	1.0
5946	1469	1.0
255	254	1.0
255	256	1.0
255	244	1.0
101	1099	1.0
5947	4573	1.0
5947	9823	1.0
5947	8079	1.0
5947	1364	1.0
5947	2511	1.0
5947	6545	1.0
5947	6097	1.0
5947	5761	1.0
5947	7588	1.0
5947	3793	1.0
5947	4786	1.0
5947	9117	1.0
5947	2656	1.0
5947	6072	1.0
5947	4490	1.0
804	8669	1.0
9697	3861	1.0
9697	6731	1.0
3076	2101	1.0
10051	4533	1.0
10051	8876	1.0
10051	738	1.0
10051	5407	1.0
217	8722	1.0
217	10163	1.0
10234	10220	1.0
9605	6359	1.0
2023	2373	1.0
2023	589	1.0
9749	10042	1.0
2025	7201	1.0
2025	1910	1.0
5919	8655	1.0
8678	1930	1.0
8678	1566	1.0
5950	1553	1.0
9543	3665	1.0
5951	1218	1.0
214	3002	1.0
9544	3049	1.0
5952	5765	1.0
5952	3094	1.0
4206	2213	1.0
5564	6947	1.0
8680	2224	1.0
5920	1566	1.0
2026	4533	1.0
2027	2753	1.0
4208	3757	1.0
4208	6891	1.0
2028	3089	1.0
2028	821	1.0
7880	8190	1.0
7880	771	1.0
7880	1702	1.0
3018	1540	1.0
3018	8868	1.0
3018	2735	1.0
3018	5635	1.0
1229	5662	1.0
1229	5727	1.0
10303	7912	1.0
10303	7462	1.0
7471	7338	1.0
7471	7909	1.0
7471	4726	1.0
7471	8491	1.0
7471	6400	1.0
7471	6596	1.0
7471	10513	1.0
7471	4601	1.0
6206	10181	1.0
6206	1354	1.0
6206	6361	1.0
6206	5631	1.0
6206	4436	1.0
6206	3002	1.0
5189	1991	1.0
7881	4306	1.0
7881	5662	1.0
7881	7359	1.0
7881	5727	1.0
9719	9971	1.0
9719	7464	1.0
4212	4496	1.0
4213	8123	1.0
4213	5289	1.0
9545	9133	1.0
9545	5164	1.0
9545	4220	1.0
9545	8259	1.0
9545	6030	1.0
9545	9494	1.0
9545	8019	1.0
9545	4075	1.0
9545	773	1.0
9545	5972	1.0
9545	3953	1.0
9545	9303	1.0
9545	2180	1.0
9545	5990	1.0
9545	1144	1.0
9545	2746	1.0
9545	5599	1.0
9545	4912	1.0
9545	8437	1.0
9545	5745	1.0
9545	1072	1.0
9545	6160	1.0
9545	3248	1.0
9545	2224	1.0
9545	9314	1.0
9545	8630	1.0
9545	3833	1.0
9545	3568	1.0
9545	6814	1.0
9545	7483	1.0
9545	1633	1.0
9545	7012	1.0
9545	8767	1.0
7472	3916	1.0
10105	2825	1.0
8682	2597	1.0
8682	6936	1.0
6413	1094	1.0
5953	518	1.0
2031	5732	1.0
2031	4533	1.0
2031	1950	1.0
4965	4955	1.0
7475	1330	1.0
7475	10073	1.0
345	4824	1.0
372	371	1.0
5954	1985	1.0
5954	1666	1.0
5954	3495	1.0
5954	9514	1.0
5954	6809	1.0
805	8650	1.0
7476	6186	1.0
7476	5430	1.0
2032	1830	1.0
68	30	1.0
68	182	1.0
7477	5132	1.0
7477	2259	1.0
4215	7667	1.0
2867	3415	1.0
2867	5015	1.0
2867	1207	1.0
4216	5195	1.0
4216	2356	1.0
4216	3789	1.0
4216	6051	1.0
69	182	1.0
4217	9696	1.0
5957	3961	1.0
7480	7415	1.0
2033	4533	1.0
2033	7278	1.0
1357	987	1.0
4218	4227	1.0
4219	3807	1.0
6251	978	1.0
3809	3985	1.0
7481	5904	1.0
7882	7049	1.0
7882	2184	1.0
7882	8727	1.0
7882	6149	1.0
4220	7659	1.0
9635	6523	1.0
7482	5066	1.0
1933	3893	1.0
5959	8128	1.0
2037	5018	1.0
2037	1924	1.0
7217	6097	1.0
5961	4631	1.0
5961	7351	1.0
5962	6740	1.0
6478	2126	1.0
6478	1894	1.0
7484	4275	1.0
3420	1335	1.0
4221	5396	1.0
4221	1289	1.0
4221	1297	1.0
4221	3781	1.0
4221	5275	1.0
4624	7639	1.0
4624	3835	1.0
4624	986	1.0
4222	1439	1.0
4222	6893	1.0
4222	9685	1.0
4222	8108	1.0
4222	2224	1.0
4222	8899	1.0
4222	924	1.0
4222	3523	1.0
4222	1294	1.0
8683	9622	1.0
8683	3085	1.0
6078	1285	1.0
6078	3354	1.0
6078	4616	1.0
2040	4658	1.0
4223	952	1.0
4223	6331	1.0
4223	979	1.0
4223	4055	1.0
4227	1979	1.0
4227	6596	1.0
4227	9418	1.0
4227	6375	1.0
4227	1059	1.0
4227	1182	1.0
4227	2766	1.0
4227	1494	1.0
4227	7279	1.0
4227	3284	1.0
2042	6378	1.0
7485	4087	1.0
5487	4533	1.0
8684	3076	1.0
8684	3514	1.0
4228	3324	1.0
7487	9685	1.0
4229	9261	1.0
4229	3129	1.0
4229	3711	1.0
4229	5133	1.0
4229	7257	1.0
4229	1323	1.0
9548	1715	1.0
4230	4484	1.0
861	1752	1.0
861	5179	1.0
7220	5864	1.0
2045	3144	1.0
2045	3003	1.0
8686	2467	1.0
8686	756	1.0
8686	5930	1.0
8686	4097	1.0
5963	10268	1.0
7883	7378	1.0
7883	3525	1.0
7883	7874	1.0
7883	10221	1.0
7488	7956	1.0
7488	4306	1.0
7488	4599	1.0
10446	10148	1.0
6941	7427	1.0
9963	7219	1.0
9549	6494	1.0
8687	7994	1.0
7491	5938	1.0
7884	2735	1.0
7884	630	1.0
71	182	1.0
9795	8128	1.0
9795	7351	1.0
9795	5697	1.0
8688	6435	1.0
10168	196	1.0
5966	1981	1.0
2047	6886	1.0
5967	8287	1.0
5967	5333	1.0
2048	1892	1.0
2048	2658	1.0
2048	6009	1.0
72	182	1.0
8689	10363	1.0
5971	5161	1.0
9550	3944	1.0
4238	10004	1.0
9551	7192	1.0
9551	1156	1.0
8690	5230	1.0
7494	5389	1.0
9796	7630	1.0
2051	6966	1.0
2051	3823	1.0
2051	926	1.0
2051	10320	1.0
2051	5698	1.0
2051	9584	1.0
2051	9809	1.0
2051	2208	1.0
2051	1341	1.0
2051	10138	1.0
2051	1566	1.0
2051	4102	1.0
2051	6999	1.0
2051	929	1.0
2051	8582	1.0
2051	3546	1.0
2051	2008	1.0
2051	2734	1.0
2051	3785	1.0
3578	8198	1.0
3578	2616	1.0
3578	6043	1.0
4240	3813	1.0
4240	4534	1.0
4240	8621	1.0
4240	7610	1.0
2054	760	1.0
2054	3827	1.0
2054	3698	1.0
4241	4946	1.0
4241	7428	1.0
862	1043	1.0
862	2623	1.0
862	6013	1.0
4578	8352	1.0
7496	2324	1.0
2055	5662	1.0
2055	2665	1.0
10485	8174	1.0
7497	4540	1.0
7497	7859	1.0
9553	8803	1.0
2056	4021	1.0
2057	8803	1.0
2057	4526	1.0
2057	6141	1.0
2057	6249	1.0
2057	5755	1.0
2057	4435	1.0
2057	9159	1.0
2057	934	1.0
2057	1712	1.0
2058	2410	1.0
2058	2302	1.0
2059	1050	1.0
660	1727	1.0
660	3439	1.0
660	1156	1.0
2060	2424	1.0
2060	5164	1.0
2060	5160	1.0
6207	2521	1.0
6207	4961	1.0
2061	4575	1.0
2061	6520	1.0
2061	1850	1.0
2062	637	1.0
3562	1156	1.0
4243	6295	1.0
4243	6382	1.0
4243	6065	1.0
9864	10515	1.0
9900	2356	1.0
9900	8840	1.0
9900	9763	1.0
9918	2602	1.0
10009	738	1.0
5977	3659	1.0
5977	3012	1.0
5977	2671	1.0
4737	1919	1.0
4244	5292	1.0
4244	7782	1.0
7498	2539	1.0
5493	4844	1.0
5493	881	1.0
5493	1504	1.0
9976	10199	1.0
9976	9763	1.0
10048	2826	1.0
10048	9825	1.0
10048	10163	1.0
4245	8409	1.0
7447	8563	1.0
7447	9163	1.0
4095	8742	1.0
4095	8474	1.0
4095	8292	1.0
1599	3150	1.0
2065	4276	1.0
4844	8447	1.0
4844	8259	1.0
4844	5493	1.0
4844	1966	1.0
4844	3304	1.0
5981	650	1.0
5981	6226	1.0
2066	9084	1.0
2067	2826	1.0
8318	4533	1.0
10520	295	1.0
4250	1517	1.0
9022	1335	1.0
7499	3846	1.0
7499	1256	1.0
1314	10100	1.0
1314	3522	1.0
1314	5312	1.0
1314	1507	1.0
1314	7920	1.0
1314	6644	1.0
1314	1548	1.0
1314	6223	1.0
1314	651	1.0
1314	924	1.0
1314	2296	1.0
1314	3796	1.0
4254	3096	1.0
600	6936	1.0
272	6756	1.0
3256	2329	1.0
3256	7164	1.0
3812	8868	1.0
8694	738	1.0
8694	9075	1.0
9555	9115	1.0
2069	4658	1.0
2069	2246	1.0
2070	5912	1.0
5984	716	1.0
7681	909	1.0
7681	2361	1.0
2072	5403	1.0
2072	2735	1.0
2072	2797	1.0
2072	7202	1.0
2072	2321	1.0
8695	6662	1.0
8695	8540	1.0
8695	6249	1.0
2073	3708	1.0
2073	6289	1.0
2073	4066	1.0
2073	1877	1.0
2073	1185	1.0
2073	4503	1.0
2074	3944	1.0
2074	4070	1.0
4969	6691	1.0
4969	7144	1.0
4969	7199	1.0
4969	1758	1.0
4256	3309	1.0
1441	3869	1.0
1441	4533	1.0
1441	9362	1.0
10305	2395	1.0
10305	7371	1.0
10305	9163	1.0
10305	653	1.0
8696	10050	1.0
4257	2994	1.0
4257	695	1.0
8697	1379	1.0
2076	10540	1.0
7502	5563	1.0
4258	6073	1.0
10245	10172	1.0
2077	7237	1.0
2077	3359	1.0
2077	792	1.0
4179	4400	1.0
8701	6142	1.0
1601	8745	1.0
4057	3840	1.0
5990	6591	1.0
5990	5953	1.0
7503	4242	1.0
5991	7894	1.0
7504	3461	1.0
2080	8803	1.0
2080	1341	1.0
2080	5325	1.0
2080	2356	1.0
2080	5123	1.0
2080	4867	1.0
2080	9159	1.0
2080	2969	1.0
5992	1802	1.0
5992	370	1.0
10135	4744	1.0
7505	538	1.0
7505	5305	1.0
8702	8815	1.0
8702	8484	1.0
1317	2431	1.0
8703	273	1.0
4260	10163	1.0
8704	4415	1.0
4261	1335	1.0
4262	2036	1.0
2081	4110	1.0
5993	5061	1.0
8171	5856	1.0
8171	7124	1.0
7506	4162	1.0
3254	2453	1.0
3254	4873	1.0
3254	4161	1.0
3254	6020	1.0
9284	3211	1.0
2877	2656	1.0
2877	1663	1.0
2877	3445	1.0
2877	1126	1.0
2877	2215	1.0
2877	2733	1.0
2877	203	1.0
2877	7070	1.0
2877	4326	1.0
2877	1007	1.0
2877	8985	1.0
2877	2383	1.0
2877	3002	1.0
5563	1558	1.0
5563	738	1.0
5563	7308	1.0
5563	5797	1.0
5563	3624	1.0
5563	3193	1.0
5563	4636	1.0
5563	4082	1.0
5563	4051	1.0
5563	7502	1.0
5563	5782	1.0
5563	8329	1.0
5563	768	1.0
5563	912	1.0
5994	813	1.0
5994	4490	1.0
5995	3792	1.0
5995	8632	1.0
5995	875	1.0
4265	5760	1.0
4265	4227	1.0
4265	1981	1.0
4267	1840	1.0
4267	7946	1.0
7228	7056	1.0
4268	4159	1.0
4268	2068	1.0
4268	3502	1.0
8706	8362	1.0
5996	4584	1.0
5997	1197	1.0
6209	1701	1.0
8133	1005	1.0
2083	3687	1.0
2083	6294	1.0
1470	2132	1.0
1470	649	1.0
1470	6158	1.0
1470	445	1.0
273	1335	1.0
7508	5401	1.0
8707	907	1.0
4270	9084	1.0
4270	8079	1.0
4270	3743	1.0
7509	3266	1.0
7510	2632	1.0
1547	4621	1.0
4271	4504	1.0
4271	2722	1.0
6210	1470	1.0
5998	4809	1.0
4272	6301	1.0
4272	4900	1.0
4272	1354	1.0
4272	784	1.0
4272	2997	1.0
4272	872	1.0
4272	5924	1.0
4272	6283	1.0
4272	8128	1.0
4272	4797	1.0
7511	2324	1.0
9977	2039	1.0
2085	1949	1.0
2086	1888	1.0
8469	6875	1.0
4274	3733	1.0
7512	1521	1.0
7512	1418	1.0
7512	8035	1.0
7512	2431	1.0
2729	9682	1.0
2729	2356	1.0
1731	2241	1.0
1731	5166	1.0
1731	326	1.0
8709	5116	1.0
2087	738	1.0
8134	5088	1.0
8134	9328	1.0
8134	4673	1.0
8134	9659	1.0
8134	7954	1.0
8710	2508	1.0
8711	8848	1.0
8711	4647	1.0
8711	5765	1.0
1602	4385	1.0
1602	1613	1.0
1602	6934	1.0
1602	5736	1.0
1602	9686	1.0
2088	2160	1.0
2089	8501	1.0
2089	6245	1.0
4439	4188	1.0
6000	9225	1.0
6000	5010	1.0
6000	8677	1.0
6000	4829	1.0
10220	10234	1.0
5689	7396	1.0
5689	5682	1.0
5689	9700	1.0
5689	3872	1.0
5689	1127	1.0
5689	5727	1.0
8714	4383	1.0
8715	4655	1.0
2090	6460	1.0
2090	6802	1.0
2090	7147	1.0
2091	2832	1.0
2091	3956	1.0
2091	1687	1.0
2091	5611	1.0
2091	7371	1.0
2091	1321	1.0
2091	2405	1.0
2091	6204	1.0
2091	2695	1.0
2091	1577	1.0
2091	839	1.0
2091	2735	1.0
2091	1958	1.0
4196	1927	1.0
4196	4835	1.0
8488	5453	1.0
4275	7484	1.0
2092	2341	1.0
4520	7589	1.0
4520	7601	1.0
4520	3147	1.0
7230	5193	1.0
8717	1397	1.0
2093	1983	1.0
2093	8359	1.0
2878	10363	1.0
2878	9494	1.0
2878	5727	1.0
5423	875	1.0
5423	4390	1.0
5423	3630	1.0
5423	4936	1.0
2094	4745	1.0
2094	1469	1.0
6001	2767	1.0
6001	1940	1.0
6001	4365	1.0
996	10218	1.0
73	32	1.0
3136	102	1.0
7515	9454	1.0
7515	735	1.0
10246	2754	1.0
10293	3359	1.0
10293	10503	1.0
10293	10163	1.0
7516	7532	1.0
7517	8417	1.0
4278	5120	1.0
4278	2438	1.0
9920	9606	1.0
9920	3784	1.0
2096	4658	1.0
2096	1331	1.0
2096	7237	1.0
2096	5312	1.0
2096	9986	1.0
10049	1848	1.0
4279	9167	1.0
7520	7269	1.0
7520	2623	1.0
7520	1579	1.0
2097	785	1.0
2097	4044	1.0
2097	4533	1.0
2097	3638	1.0
2097	897	1.0
2098	6288	1.0
2099	1441	1.0
2727	10290	1.0
2727	7125	1.0
6005	1110	1.0
6005	7737	1.0
6005	9659	1.0
7231	8258	1.0
7231	8168	1.0
9412	9003	1.0
4282	4461	1.0
4282	2809	1.0
4282	4131	1.0
9844	3759	1.0
9844	10325	1.0
9844	4533	1.0
9844	9374	1.0
9844	2623	1.0
2101	3076	1.0
2102	3803	1.0
2103	3919	1.0
4283	2362	1.0
4283	6350	1.0
4283	8259	1.0
4283	6702	1.0
4283	4145	1.0
7233	4541	1.0
7233	2722	1.0
2104	8258	1.0
9558	7568	1.0
9558	8436	1.0
9558	5727	1.0
2418	7324	1.0
9559	3726	1.0
9559	1066	1.0
9559	5600	1.0
10294	10086	1.0
4285	8079	1.0
7521	661	1.0
7522	5636	1.0
9560	4599	1.0
4287	3676	1.0
4288	7091	1.0
2106	945	1.0
4625	1983	1.0
4289	2328	1.0
7405	6283	1.0
7405	3090	1.0
7888	5083	1.0
7888	4572	1.0
7888	7091	1.0
2109	2253	1.0
2109	2469	1.0
8719	4021	1.0
6011	7338	1.0
6011	8329	1.0
6011	7229	1.0
6012	6030	1.0
6012	8723	1.0
6012	4782	1.0
6012	4383	1.0
4291	8659	1.0
4952	5667	1.0
4952	5704	1.0
9561	8201	1.0
9561	8955	1.0
9561	3549	1.0
9561	6845	1.0
9561	7685	1.0
9561	6269	1.0
4293	2694	1.0
4293	8379	1.0
4293	3056	1.0
4293	8453	1.0
4293	9091	1.0
2110	3817	1.0
4294	1156	1.0
8660	1247	1.0
8721	1064	1.0
8721	4933	1.0
8721	4599	1.0
6013	862	1.0
6014	6024	1.0
6014	6073	1.0
10302	9114	1.0
7525	6365	1.0
7525	651	1.0
7525	9096	1.0
7525	3286	1.0
7525	7920	1.0
7525	4319	1.0
9537	2356	1.0
9537	5907	1.0
9537	705	1.0
9537	4533	1.0
9537	3129	1.0
6016	5866	1.0
6017	8384	1.0
798	2255	1.0
2112	2421	1.0
2112	4532	1.0
10291	6857	1.0
7526	6822	1.0
9562	6574	1.0
6018	5682	1.0
4298	3770	1.0
4299	1824	1.0
7527	3892	1.0
8722	217	1.0
4522	4093	1.0
4301	3668	1.0
4301	7862	1.0
4301	881	1.0
4301	6460	1.0
4301	8168	1.0
4301	6751	1.0
4301	2180	1.0
4183	5199	1.0
74	32	1.0
1335	6639	1.0
1335	9592	1.0
1335	823	1.0
1335	10057	1.0
1335	1123	1.0
1335	3129	1.0
1335	1177	1.0
1335	8918	1.0
1335	4738	1.0
1335	9686	1.0
1335	1156	1.0
1335	2616	1.0
1335	4306	1.0
1335	3866	1.0
1335	4261	1.0
1335	1145	1.0
1335	4753	1.0
1335	3630	1.0
1335	4628	1.0
1335	3420	1.0
1335	8989	1.0
1335	9022	1.0
1335	3543	1.0
1335	5294	1.0
1335	826	1.0
1335	6988	1.0
1335	2034	1.0
1335	1815	1.0
1335	1983	1.0
6020	3254	1.0
7528	6263	1.0
1041	4788	1.0
1445	2365	1.0
1445	4533	1.0
7529	8050	1.0
7529	6676	1.0
7529	5661	1.0
7529	4573	1.0
7529	6699	1.0
7529	4611	1.0
7529	8250	1.0
7529	4162	1.0
7529	4757	1.0
7529	5665	1.0
6022	10244	1.0
6022	8447	1.0
6022	9312	1.0
7687	6644	1.0
7687	5153	1.0
9782	6571	1.0
9564	2052	1.0
9564	971	1.0
9564	10115	1.0
9768	10199	1.0
9768	8404	1.0
2117	6365	1.0
2117	8079	1.0
2117	7568	1.0
2117	924	1.0
2117	5250	1.0
2117	6644	1.0
1466	2380	1.0
7530	2661	1.0
2881	5116	1.0
2881	5922	1.0
2881	5530	1.0
2118	2973	1.0
4302	9154	1.0
4302	1583	1.0
6024	4761	1.0
6024	5979	1.0
6024	6014	1.0
2119	1636	1.0
2119	3372	1.0
2119	8426	1.0
2119	3546	1.0
8723	6540	1.0
8723	6012	1.0
8723	5164	1.0
8723	8191	1.0
8723	4815	1.0
8723	8895	1.0
8723	2866	1.0
8723	6290	1.0
8723	3403	1.0
8723	6690	1.0
7531	3119	1.0
2122	7392	1.0
2374	5094	1.0
7532	1888	1.0
7532	4027	1.0
7532	7516	1.0
7533	704	1.0
9923	9504	1.0
2124	9250	1.0
3257	7765	1.0
2882	8290	1.0
2882	10326	1.0
2882	9296	1.0
9539	10059	1.0
4304	4168	1.0
4304	5921	1.0
9771	6523	1.0
2130	5116	1.0
2126	6478	1.0
2126	1983	1.0
9797	9075	1.0
4307	901	1.0
4307	5116	1.0
4307	3810	1.0
4308	3364	1.0
4525	7592	1.0
4525	590	1.0
4525	5661	1.0
7534	7294	1.0
6030	6012	1.0
6030	8502	1.0
6030	3270	1.0
6030	7338	1.0
6030	714	1.0
6030	5662	1.0
6030	5132	1.0
6030	7859	1.0
8724	7175	1.0
7535	7102	1.0
2002	5734	1.0
2002	1070	1.0
2002	9516	1.0
2002	348	1.0
2002	4591	1.0
2002	9101	1.0
2002	4639	1.0
6876	4917	1.0
7536	2191	1.0
2127	10092	1.0
2883	4022	1.0
6033	6908	1.0
6034	606	1.0
6034	5250	1.0
6034	4283	1.0
4310	2973	1.0
6036	9311	1.0
6036	3859	1.0
6036	5559	1.0
2129	9017	1.0
2129	8258	1.0
2129	5607	1.0
2129	570	1.0
2129	3549	1.0
2129	4897	1.0
7538	5680	1.0
6037	3044	1.0
9998	7617	1.0
6142	8701	1.0
2131	819	1.0
2131	3775	1.0
2131	6513	1.0
2131	994	1.0
6038	6167	1.0
5907	9537	1.0
2132	606	1.0
2132	6792	1.0
2132	1470	1.0
2132	2276	1.0
9566	2915	1.0
9566	9659	1.0
2133	3184	1.0
4979	9731	1.0
8725	7848	1.0
8725	9392	1.0
8725	8374	1.0
8725	7181	1.0
8725	7724	1.0
8725	1377	1.0
